K;REQ_CORES;REQ_MEMORY;REQ_RATE;DENSITY;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
2;1;100;1;1;1;1;1;4;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;100;10;1;1;1;1;4;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;100;50;1;1;1;1;4;0;0;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;100;100;1;1;1;1;4;0;0;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;100;200;1;1;1;1;4;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;100;500;1;1;1;1;4;0;0;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;100;1000;1;1;1;1;4;0;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;1000;1;1;1;1;1;4;0;0;0;0;0;0;7;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;1000;10;1;1;1;1;4;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;1000;50;1;1;1;1;4;0;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
2;1;1000;100;1;1;1;1;4;0;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0;0;0;0;0
