N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
10;0,1;0;4;5;5;6;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;0;4;5;5;7;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;0;4;4;4;8;1;0;0;9,375;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;0;3;4;4;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;0;4;4;4;7;0;0;0;0;0;0;15;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;1;4;4;4;7;1;0;0;3,125;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;1;3;4;3;9;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;1;3;4;4;8;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;1;3;4;3;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;1;3;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;2;4;4;5;6;1;0;0;6,25;0;0;15;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;2;4;4;5;10;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;2;4;4;5;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;2;3;4;4;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;2;4;4;4;7;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;3;4;5;5;8;1;0;0;15,625;0;0;10;0;0;0;0;0;0;20;0;0;0;0;0;0;10;1;0;0;15,625;0;0
10;0,2;3;3;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;3;3;4;4;8;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;3;4;4;4;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;3;4;4;4;9;0;0;0;0;0;0;10;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;4;3;5;4;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;4;4;4;4;9;0;0;0;0;0;0;15;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;4;3;4;3;8;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;4;3;4;4;7;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;4;3;4;3;8;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;5;3;4;4;9;1;0;0;9,375;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;5;5;6;5;10;1;0;0;40,625;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;1;0;0;40,625;0;0
10;0,3;5;3;4;3;7;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;5;3;4;3;10;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;5;3;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;6;4;4;4;8;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;6;3;4;4;7;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;6;3;4;4;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;6;3;4;3;8;0;0;0;0;0;0;16;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;6;3;4;4;10;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;7;4;4;4;9;1;0;0;15,625;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;1;0;0;15,625;0;0
10;0,2;7;4;5;4;8;0;0;0;0;0;0;10;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;7;3;4;4;8;0;0;0;0;0;0;9;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;7;3;3;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;7;4;6;4;10;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;8;4;4;5;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;8;4;4;4;6;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;8;4;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;8;3;4;4;8;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;8;3;4;3;9;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;9;3;4;3;7;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;9;3;4;4;9;0;0;0;0;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;9;3;4;3;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;9;3;4;4;10;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;9;3;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;10;3;4;3;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;10;3;4;4;8;1;0;0;12,5;0;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;10;1;0;0;6,25;0;0
10;0,3;10;3;4;4;8;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;10;4;4;4;9;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;10;4;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;11;3;4;4;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;11;3;3;3;9;0;0;0;0;0;0;16;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;11;3;4;3;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;11;3;4;4;8;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;11;4;4;4;10;0;0;0;0;0;0;15;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;12;3;4;3;10;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;12;3;4;3;9;0;0;0;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;12;4;6;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,4;12;3;4;3;7;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,5;12;3;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,1;13;3;4;4;9;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,2;13;3;4;4;9;0;0;0;0;0;0;14;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
10;0,3;13;4;4;3;8;0;0;0;0;0;0;13;0;0;0;0;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0
