N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
10;0,1;0;3;10;6;4;0;2;0;0;15,625;0;12;3;3;0;300;900;0;15;5;3;0;550;1500;0;10;2;3;0;1000;1700;0
10;0,2;0;4;6;5;7;0;0;0;0;0;0;10;4;4;0;200;300;0;15;4;4;0;450;350;0;10;3;3;0;400;550;0
10;0,3;0;3;6;5;5;0;0;0;0;0;0;11;4;4;0;300;1200;0;15;4;4;0;600;500;0;10;3;2;0;600;1300;0
10;0,4;0;4;10;8;6;0;2;0;0;75;0;12;3;4;0;1150;1300;0;15;4;4;0;300;900;0;10;2;3;0;1000;2700;0
10;0,5;0;4;6;6;9;0;0;0;0;0;0;13;3;6;0;650;900;0;15;5;4;0;500;700;0;10;2;3;0;950;1500;0
10;0,1;1;4;6;4;6;0;1;0;0;6,25;0;11;3;3;0;700;450;0;15;3;4;0;300;800;0;10;1;2;0;400;700;0
10;0,2;1;4;6;5;7;1;0;0;15,625;0;0;10;2;2;0;550;500;0;15;5;4;0;450;700;0;10;3;2;0;600;1050;0
10;0,3;1;4;8;5;6;0;0;0;0;0;0;10;2;2;0;300;700;0;15;5;5;0;400;700;0;10;2;3;0;550;900;0
10;0,4;1;3;6;5;8;0;0;0;0;0;0;10;4;2;0;300;500;0;15;4;5;0;300;1000;0;10;3;3;0;550;700;0
10;0,5;1;3;4;5;5;0;0;0;0;0;0;13;3;2;0;250;700;0;15;4;5;0;300;1000;0;10;3;2;0;200;1000;0
